season,week,game.id,date,dow,team,opp,h.a,playerid,name,full_name,pos,dk.salary,fan_pts,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0033280,C.McCaffrey,Christian McCaffrey,RB,8800,45.9,0,0,0,0,0,0,0,19,128,2,23,8,0,0,10,81,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0033296,A.Armah,Alex Armah,RB,3000,6.1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0029572,J.Wright,Jarius Wright,WR,3200,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0025418,G.Olsen,Greg Olsen,TE,3200,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0033282,C.Samuel,Curtis Samuel,WR,4200,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0033106,J.Goff,Jared Goff,QB,6200,10.440000000000001,39,23,186,1,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0032241,T.Gurley,Todd Gurley,RB,7900,11.1,0,0,0,0,0,0,0,14,97,0,25,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0030431,R.Woods,Robert Woods,WR,6400,16.6,0,0,0,0,0,0,0,2,16,0,20,0,0,0,8,70,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0031806,M.Brown,Malcolm Brown,RB,3800,17.3,0,0,0,0,0,0,0,11,53,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0035664,D.Henderson,Darrell Henderson,RB,4800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0031236,B.Cooks,Brandin Cooks,WR,6500,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0033895,G.Everett,Gerald Everett,TE,2900,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0033908,C.Kupp,Cooper Kupp,WR,5700,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,LA,CAR,a,00-0033110,T.Higbee,Tyler Higbee,TE,2600,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0023564,D.Sproles,Darren Sproles,RB,3100,11.3,0,0,0,0,0,0,0,9,47,0,17,0,1,1,3,16,0,7,0,0,0,0,0,0,0,0,4,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0032780,J.Howard,Jordan Howard,RB,4200,7.5,0,0,0,0,0,0,0,6,44,0,17,0,0,0,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0035243,M.Sanders,Miles Sanders,RB,3900,3.7,0,0,0,0,0,0,0,11,25,0,19,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0029137,A.Jeffery,Alshon Jeffery,WR,5900,22.1,0,0,0,0,0,0,0,1,2,1,2,2,0,0,5,49,1,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0026189,D.Jackson,DeSean Jackson,WR,4500,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,154,2,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0032950,C.Wentz,Carson Wentz,QB,5700,28.02,39,28,313,3,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0034351,D.Goedert,Dallas Goedert,TE,2900,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0030061,Z.Ertz,Zach Ertz,TE,6100,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,PHI,WAS,h,00-0031549,N.Agholor,Nelson Agholor,WR,3900,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0034339,T.Quinn,Trey Quinn,WR,3400,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,1,14,4,0,0,0,0,0,0,0,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0034358,D.Guice,Derrius Guice,RB,4400,6.8,0,0,0,0,0,0,0,10,18,0,5,0,0,0,3,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0030404,C.Thompson,Chris Thompson,RB,3500,14.8,0,0,0,0,0,0,0,3,10,0,7,0,0,0,7,68,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0028986,C.Keenum,Case Keenum,QB,4900,30.2,44,30,380,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
